Municipios	Sexo	Periodo	Total
28078 Madarcos	Hombres	2022	32
28078 Madarcos	Mujeres	2022	31
28079 Madrid	Total	2022	3.280.782
28079 Madrid	Hombres	2022	1.531.214
28079 Madrid	Mujeres	2022	1.749.568
28080 Majadahonda	Total	2022	72.179
28080 Majadahonda	Hombres	2022	34.148
28080 Majadahonda	Mujeres	2022	38.031
28082 Manzanares el Real	Total	2022	9.247
28082 Manzanares el Real	Hombres	2022	4.667
28082 Manzanares el Real	Mujeres	2022	4.580
28083 Meco	Total	2022	15.143
28083 Meco	Hombres	2022	7.635
28083 Meco	Mujeres	2022	7.508
28084 Mejorada del Campo	Total	2022	23.897
28084 Mejorada del Campo	Hombres	2022	11.830
28084 Mejorada del Campo	Mujeres	2022	12.067
28085 Miraflores de la Sierra	Total	2022	6.711
28085 Miraflores de la Sierra	Hombres	2022	3.440
28085 Miraflores de la Sierra	Mujeres	2022	3.271
28086 Molar, El	Total	2022	9.437
28086 Molar, El	Hombres	2022	4.774
28086 Molar, El	Mujeres	2022	4.663
28087 Molinos, Los	Total	2022	4.699
28087 Molinos, Los	Hombres	2022	2.323
28087 Molinos, Los	Mujeres	2022	2.376
28088 Montejo de la Sierra	Total	2022	372
28088 Montejo de la Sierra	Hombres	2022	183
28088 Montejo de la Sierra	Mujeres	2022	189
28089 Moraleja de Enmedio	Total	2022	5.368
28089 Moraleja de Enmedio	Hombres	2022	2.701
28089 Moraleja de Enmedio	Mujeres	2022	2.667
28090 Moralzarzal	Total	2022	13.905
28090 Moralzarzal	Hombres	2022	6.937
28090 Moralzarzal	Mujeres	2022	6.968
28091 Morata de Tajuña	Total	2022	7.960
28091 Morata de Tajuña	Hombres	2022	4.009
28091 Morata de Tajuña	Mujeres	2022	3.951
28092 Móstoles	Total	2022	208.761
28092 Móstoles	Hombres	2022	101.318
28092 Móstoles	Mujeres	2022	107.443
28093 Navacerrada	Total	2022	3.218
28093 Navacerrada	Hombres	2022	1.594
28093 Navacerrada	Mujeres	2022	1.624
28094 Navalafuente	Total	2022	1.574
28094 Navalafuente	Hombres	2022	810
28094 Navalafuente	Mujeres	2022	764
28095 Navalagamella	Total	2022	2.809
28095 Navalagamella	Hombres	2022	1.442
28095 Navalagamella	Mujeres	2022	1.367
28096 Navalcarnero	Total	2022	31.379
28096 Navalcarnero	Hombres	2022	15.585
28096 Navalcarnero	Mujeres	2022	15.794
28097 Navarredonda y San Mamés	Total	2022	138
28097 Navarredonda y San Mamés	Hombres	2022	85
28097 Navarredonda y San Mamés	Mujeres	2022	53
28099 Navas del Rey	Total	2022	3.134
28099 Navas del Rey	Hombres	2022	1.625
28099 Navas del Rey	Mujeres	2022	1.509
28100 Nuevo Baztán	Total	2022	6.760
28100 Nuevo Baztán	Hombres	2022	3.468
28100 Nuevo Baztán	Mujeres	2022	3.292
28101 Olmeda de las Fuentes	Total	2022	376
28101 Olmeda de las Fuentes	Hombres	2022	193
28101 Olmeda de las Fuentes	Mujeres	2022	183
28102 Orusco de Tajuña	Total	2022	1.326
28102 Orusco de Tajuña	Hombres	2022	695
28102 Orusco de Tajuña	Mujeres	2022	631
28104 Paracuellos de Jarama	Total	2022	26.450
28104 Paracuellos de Jarama	Hombres	2022	13.246
28104 Paracuellos de Jarama	Mujeres	2022	13.204
28106 Parla	Total	2022	130.577
28106 Parla	Hombres	2022	64.847
28106 Parla	Mujeres	2022	65.730
28107 Patones	Total	2022	536
28107 Patones	Hombres	2022	257
28107 Patones	Mujeres	2022	279
28108 Pedrezuela	Total	2022	6.307
28108 Pedrezuela	Hombres	2022	3.175
28108 Pedrezuela	Mujeres	2022	3.132
28109 Pelayos de la Presa	Total	2022	2.867
28109 Pelayos de la Presa	Hombres	2022	1.454
28109 Pelayos de la Presa	Mujeres	2022	1.413
28110 Perales de Tajuña	Total	2022	3.117
28110 Perales de Tajuña	Hombres	2022	1.573
28110 Perales de Tajuña	Mujeres	2022	1.544
28111 Pezuela de las Torres	Total	2022	931
28111 Pezuela de las Torres	Hombres	2022	492
28111 Pezuela de las Torres	Mujeres	2022	439
28112 Pinilla del Valle	Total	2022	198
28112 Pinilla del Valle	Hombres	2022	106
28112 Pinilla del Valle	Mujeres	2022	92
28113 Pinto	Total	2022	54.088
28113 Pinto	Hombres	2022	26.726
28113 Pinto	Mujeres	2022	27.362
28114 Piñuécar-Gandullas	Total	2022	184
28114 Piñuécar-Gandullas	Hombres	2022	96
28114 Piñuécar-Gandullas	Mujeres	2022	88
28115 Pozuelo de Alarcón	Total	2022	87.728
28115 Pozuelo de Alarcón	Hombres	2022	41.989
28115 Pozuelo de Alarcón	Mujeres	2022	45.739
28116 Pozuelo del Rey	Total	2022	1.178
28116 Pozuelo del Rey	Hombres	2022	611
28116 Pozuelo del Rey	Mujeres	2022	567
28117 Prádena del Rincón	Total	2022	147
28117 Prádena del Rincón	Hombres	2022	84
28117 Prádena del Rincón	Mujeres	2022	63
28118 Puebla de la Sierra	Total	2022	84
28118 Puebla de la Sierra	Hombres	2022	51
28118 Puebla de la Sierra	Mujeres	2022	33
28902 Puentes Viejas	Total	2022	697
28902 Puentes Viejas	Hombres	2022	386
28902 Puentes Viejas	Mujeres	2022	311
28119 Quijorna	Total	2022	3.683
28119 Quijorna	Hombres	2022	1.852
28119 Quijorna	Mujeres	2022	1.831
28120 Rascafría	Total	2022	1.736
28120 Rascafría	Hombres	2022	939
28120 Rascafría	Mujeres	2022	797
28121 Redueña	Total	2022	298
28121 Redueña	Hombres	2022	165
28121 Redueña	Mujeres	2022	133
28122 Ribatejada	Total	2022	871
28122 Ribatejada	Hombres	2022	454
28122 Ribatejada	Mujeres	2022	417
28123 Rivas-Vaciamadrid	Total	2022	96.690
28123 Rivas-Vaciamadrid	Hombres	2022	47.889
